Ticker,Outstanding_Shares,Price
FLNT,82453333,0.75
RSSS,30458128,2.03
GAME,12953684,4.75
ISPO,66695652,0.92
BAFN,4101672,14.95
VTVT,80618421,0.76
FLUX,15903896,3.85
ARVL,15224439,4.01
PIRS,76275000,0.80
ADAG,43250000,1.40
ASLN,16345946,3.70
AACG,32262032,1.87
NCMI,172342857,0.35
SLNG,18547692,3.25
TACT,10035000,6.00
LINK,6728188,8.94
VTSI,11046125,5.42
ICCM,45625954,1.31
ROCG,5786822,10.32
HSON,2717540,21.95
TKNO,28000000,2.13
HEPA,77298701,0.77
MYMD,40278912,1.47
LOAN,11540117,5.11
FIXX,58247525,1.01
STIM,28500000,2.06
IPWR,5911380,9.93
LGVN,21111511,2.78
SANW,42478261,1.38
PASG,52187500,1.12
DGHI,28487805,2.05
HNNA,7573281,7.71
MBTC,5324497,10.94
UXIN,45858268,1.27
GANX,11835366,4.92
OHAA,5642023,10.28
HOUR,35042424,1.65
OMEX,19523649,2.96
PRTG,17890966,3.21
SELF,11104449,5.17
XELA,1433500000,0.04
GIFI,15966574,3.59
DCTH,10116608,5.66
LRFC,2702077,21.18
CRWS,10163410,5.63
BOLT,37565789,1.52
BDTX,36506410,1.56
ZJYL,7662180,7.43
ASCA,5427073,10.49
BNIX,5461020,10.39
ASMB,52500000,1.08
CURI,52472222,1.08
SAI,22125000,2.56
PDEX,3544025,15.90
CLST,5026786,11.20
LSBK,5597015,10.05
PEPL,5471735,10.26
AWIN,56140000,1.00
ROSE,5288679,10.60
VRAR,13837037,4.05
EZGO,33473054,1.67
ENCP,5298578,10.55
NCSM,2438865,22.90
ROOT,14201018,3.93
PRAX,51906542,1.07
CCLD,15817664,3.51
QNCX,36274510,1.53
CGEN,85292308,0.65
MKTW,35050633,1.58
AIRG,10132110,5.45
SMX,22140562,2.49
JRSH,12322148,4.47
PGRW,5270813,10.45
SABS,50861111,1.08
PFIE,46931624,1.17
LFMD,32264706,1.70
VGAS,9358362,5.86
HFBL,3053542,17.93
TKLF,36493333,1.50
SYRS,20301115,2.69
DUNE,5500506,9.89
LTRN,10901606,4.98
SSIC,6214696,8.71
ALZN,94824561,0.57
RACY,4400651,12.28
AKU,86919355,0.62
ENLV,18503448,2.90
HHGC,5102955,10.49
HCWB,35885906,1.49
RAIL,17701987,3.02
ADES,26557214,2.01
IOBT,28206349,1.89
REFR,33509434,1.59
VANI,50254717,1.06
HEXO,44366667,1.20
MOGO,75928571,0.70
TATT,8925926,5.94
BYSI,39244444,1.35
NLSP,34960265,1.51
EPOW,24644860,2.14
LICN,26457286,1.99
ASRV,17146580,3.07
OESX,32294479,1.63
EMKR,53090909,0.99
NAII,5944570,8.84
KFFB,8401600,6.25
CYXT,181034483,0.29
GLTO,26185000,2.00
PAVM,96592593,0.54
PMCB,17621622,2.96
MTRY,4890141,10.65
IROQ,3409836,15.25
ABEO,17530405,2.96
WRAP,40771654,1.27
MDWT,3751449,13.80
ICMB,14369444,3.60
TURN,10352705,4.99
CACO,52693878,0.98
ASTI,139378378,0.37
MKUL,31740741,1.62
SNSE,30969880,1.66
TCRX,24226415,2.12
JG,118883721,0.43
AIH,43161017,1.18
AGMH,23467593,2.16
SONM,40991870,1.23
KPLT,96826923,0.52
LPTH,36398551,1.38
DMAQ,4613051,10.88
SYPR,21908297,2.29
PPSI,9825490,5.10
CRBP,4206723,11.90
ONDS,49058824,1.02
CGTX,28594286,1.75
RCAT,54282609,0.92
VIRX,37825758,1.32
OSS,20276423,2.46
OBIO,2501756,19.93
CRVS,47457143,1.05
FKWL,11756501,4.23
IMPP,248400000,0.20
ICCH,3151111,15.75
EDRY,2921488,16.94
GNPX,51978947,0.95
TSHA,63230769,0.78
NCNA,54700000,0.90
DXR,4291228,11.40
GSIT,24686869,1.98
CFSB,6460927,7.55
OTEC,4541899,10.74
NNBR,43455357,1.12
GSMG,68126761,0.71
MOVE,40957627,1.18
AAME,20628205,2.34
OXAC,4427122,10.84
WKEY,20079832,2.38
CODX,30922078,1.54
CYN,33957143,1.40
LTBR,12143590,3.90
GROW,16974910,2.79
WEJO,109813953,0.43
DHAC,4175688,11.27
APTO,92196078,0.51
USIO,25813187,1.82
BCOW,6191546,7.57
DYAI,28387879,1.65
NSTS,5416473,8.62
HTOO,16096552,2.90
SYBX,69507463,0.67
UTRS,178769231,0.26
MEOA,4279263,10.85
SDIG,41044248,1.13
EIGR,44161905,1.05
MGTA,61000000,0.76
HLP,12849582,3.59
AWH,121315789,0.38
BREZ,4320489,10.64
DWSN,25000000,1.83
HOFV,5646477,8.09
LPTX,120210526,0.38
DMAC,26459302,1.72
NVNO,9452083,4.80
SLS,28477987,1.59
MIGI,14087227,3.21
ELEV,23664921,1.91
IDN,19033755,2.37
NRXP,73901639,0.61
SNTI,44166667,1.02
NXPL,18841004,2.39
AGAE,39429825,1.14
RPID,42590476,1.05
FUSB,5869737,7.60
MNTS,92645833,0.48
LVTX,26135294,1.70
HUDI,14286174,3.11
ALR,33469697,1.32
NXTC,27600000,1.60
BOTJ,4594142,9.56
LIDR,168769231,0.26
UG,4633580,9.47
DPRO,43405941,1.01
FSEA,5077636,8.63
SEED,6295977,6.96
TCON,23543011,1.86
CADL,28894040,1.51
TCJH,10526570,4.14
ANGH,26321212,1.65
QLI,35818182,1.21
MLAC,4111111,10.53
IDEX,865800000,0.05
CCAI,4020446,10.76
APLT,47988889,0.90
MDNA,69645161,0.62
TEDU,11123711,3.88
LFVN,12658824,3.40
RFIL,10074941,4.27
KOSS,9192719,4.67
ADN,51722892,0.83
PMN,8580000,5.00
KEQU,2762581,15.50
CHCI,9442478,4.52
IMPL,23616667,1.80
PPBT,20712195,2.05
BREA,11150000,3.80
CASI,13323899,3.18
KA,8466934,4.99
EUCR,4201990,10.05
PBTS,468000000,0.09
GDTC,11501370,3.65
XGN,16963563,2.47
GREE,59800000,0.70
SNAL,37639640,1.11
SNCE,119171429,0.35
SUNW,35418803,1.17
DSWL,15873563,2.61
WAVS,4033106,10.27
SURF,58985714,0.70
CKPT,14700000,2.80
USAU,9379863,4.37
EVAX,25434783,1.61
AQB,71789474,0.57
EVOJ,4087087,9.99
KRKR,40740000,1.00
ALGS,43784946,0.93
HOOK,54000000,0.75
BCDA,19886700,2.03
EVTV,14966292,2.67
MNDO,20161616,1.98
AVRO,43326087,0.92
TOI,72345455,0.55
GRIL,28271429,1.40
ADOC,3658649,10.81
EBON,5954268,6.56
TCBS,3478610,11.22
CPSH,14505576,2.69
UTSI,9034884,4.30
WATT,92119048,0.42
RWLK,57731343,0.67
COYA,10020725,3.86
NOVV,3571429,10.78
ZENV,41750000,0.92
MMV,37960396,1.01
AIB,3628680,10.53
IZEA,62475410,0.61
PNBK,3965625,9.60
PLUR,40849462,0.93
RVYL,49921053,0.76
AVTX,13436170,2.82
ICCC,7746421,4.89
NYMX,92268293,0.41
SPI,29755906,1.27
NICK,7329435,5.13
CXDO,25698630,1.46
FAZE,73549020,0.51
CISO,149600000,0.25
GFAI,1638317,22.81
SSKN,34915888,1.07
LIZI,51555556,0.72
NOVN,27619403,1.34
TORO,9412214,3.93
FTEK,29568000,1.25
ESOA,16590090,2.22
BTCY,51041667,0.72
PIXY,9645669,3.81
AWRE,20875000,1.76
VLCN,24617450,1.49
PBBK,2809377,13.01
DRTT,100888889,0.36
LITM,17970297,2.02
MCOM,20982659,1.73
MOXC,34875000,1.04
TXMD,9953297,3.64
ICAD,24080000,1.50
ACXP,11711039,3.08
KAVL,56171875,0.64
BCEL,39439560,0.91
VEV,45897436,0.78
OCX,119266667,0.30
JXJT,63892857,0.56
DAIO,8625604,4.14
MIRO,27658915,1.29
TLF,7970787,4.45
OMQS,7880000,4.50
ACHL,40528736,0.87
AMAO,3468442,10.14
CTHR,30521739,1.15
KIRK,12615108,2.78
BTDR,5264264,6.66
VMAR,8806533,3.98
OCC,7816143,4.46
ELDN,13789683,2.52
IRIX,16009259,2.16
ANY,74478261,0.46
NLTX,45065789,0.76
FLGC,142625000,0.24
TARA,11194719,3.03
MSVB,2960526,11.40
MDIA,29339130,1.15
AZ,29849558,1.13
COSM,10605678,3.17
PATI,3567625,9.39
STSA,33148515,1.01
BTTX,24021583,1.39
JFU,12028881,2.77
RMCF,6332700,5.26
CLIR,36722222,0.90
KSCP,47681159,0.69
BTMD,5467554,6.01
XPON,6993603,4.69
UBX,14400881,2.27
RAND,2582148,12.66
TRIB,38423529,0.85
CRDL,62634615,0.52
USEG,25023077,1.30
ATXG,37172414,0.87
BIOR,11827206,2.72
TNXP,63019608,0.51
KALA,2036919,15.71
ORGS,28473214,1.12
CLRO,23776119,1.34
GTIM,11838951,2.67
EUDA,20887417,1.51
DUOT,7303944,4.31
SNT,22478571,1.40
KZIA,21554795,1.46
CLAY,2856364,11.00
AMPG,9602446,3.27
VTGN,223571429,0.14
ECOR,4720544,6.62
NOGN,10762069,2.90
PAVS,6804348,4.60
INAB,24503937,1.27
RNXT,10373737,2.97
SGRP,22718519,1.35
SFE,16983333,1.80
PMD,5684112,5.35
APWC,20547297,1.48
OKYO,22656716,1.34
IPDN,10306122,2.94
WVVI,4963875,6.09
PETV,10750890,2.81
GBNH,43753623,0.69
ZCMD,26234783,1.15
ASPI,36012195,0.82
SALM,27091743,1.09
WETG,195600000,0.15
MRM,4878333,6.00
LNSR,10958801,2.67
BOXL,74974359,0.39
AXLA,73050000,0.40
ZIVO,9418831,3.08
ICU,13421296,2.16
ABIO,14626263,1.98
ALPS,37519481,0.77
ERYP,31010753,0.93
SLNO,8531157,3.37
GBRG,3535142,8.11
FRLN,66674419,0.43
BFI,24435897,1.17
CLPS,23628099,1.21
DERM,17837500,1.60
BWAY,16491329,1.73
GURE,10412409,2.74
LKCO,16418605,1.72
DTSS,24119658,1.17
MTEX,1873333,15.00
SEV,92933333,0.30
MBIO,7293194,3.82
VBIV,8636646,3.22
BMRA,16728916,1.66
NTWK,11471074,2.42
NSYS,2700488,10.25
IVDA,16247059,1.70
AZYO,16194118,1.70
GENE,24801802,1.11
CPIX,14397906,1.91
BNRG,21076923,1.30
DOGZ,39579710,0.69
COEP,19090909,1.43
YGMZ,23059322,1.18
MEGL,20338346,1.33
RMTI,12671362,2.13
PXMD,13611111,1.98
LPCN,86838710,0.31
SOBR,17101911,1.57
LUMO,8199387,3.26
VEDU,39250000,0.68
INTZ,21248000,1.25
NTRB,7831858,3.39
IMMX,14236559,1.86
NCTY,25133333,1.05
SOPA,27113402,0.97
XWEL,81906250,0.32
SFT,17344371,1.51
UNCY,15000000,1.74
